rank,neighbourhood_cleansed,configuration,n,n_hosts,positive_n,observed_review_target_share,mean_oof_probability,median_oof_probability,conditional_bootstrap_lower_95,conditional_bootstrap_upper_95,fewer_than_10_positive_listings,fewer_than_10_hosts,scenario,model
22,Whitehorse,2BR Apartment/unit,71,50,1,0.014084507042253521,0.03269460258796272,0.03281565296875899,0.029532752111920246,0.035989466693222685,True,False,all_review_histories,logistic
1,Melbourne,3BR Apartment/unit,468,207,131,0.2799145299145299,0.26992099135034137,0.27671198347274706,0.25546581825423326,0.28456737738623045,False,False,all_review_histories,random_forest
2,Yarra Ranges,2BR House/townhouse,67,51,14,0.208955223880597,0.21446452333734148,0.2045066684815891,0.19113054304247284,0.24005098460634092,False,False,all_review_histories,random_forest
3,Melbourne,2BR Apartment/unit,2154,841,477,0.2214484679665738,0.20962744144340817,0.20401382726743816,0.2030644578801025,0.21702786214538566,False,False,all_review_histories,random_forest
4,Yarra,2BR House/townhouse,80,77,17,0.2125,0.20923575028107946,0.2028327667162194,0.19433522786717572,0.22292458154909098,False,False,all_review_histories,random_forest
5,Yarra Ranges,3BR House/townhouse,117,96,27,0.23076923076923078,0.2064295492593753,0.18330044525100322,0.19070617892766178,0.22513998179013103,False,False,all_review_histories,random_forest
6,Melbourne,1BR Apartment/unit,1474,647,270,0.18317503392130258,0.1857016019589046,0.18675519922298317,0.18054633431977873,0.1911296814074688,False,False,all_review_histories,random_forest
7,Yarra,1BR Apartment/unit,248,191,43,0.17338709677419356,0.17292436955125132,0.17202058920505367,0.1677519762215601,0.17796090392249564,False,False,all_review_histories,random_forest
8,Yarra,3BR House/townhouse,76,65,11,0.14473684210526316,0.14028889374020187,0.13553968455154722,0.12493685852519562,0.15438660120099887,False,False,all_review_histories,random_forest
9,Merri-bek,1BR Apartment/unit,75,68,10,0.13333333333333333,0.1351506570547776,0.14104567751124236,0.12684369690676034,0.14215754180463125,False,False,all_review_histories,random_forest
