lga,broad_class,bedrooms,n_listings,n_hosts,n_meeting_target,n_zero_reviews,observed_target_rate,reviews_p75,stage,eligible_n50,rank_observed_rate,review_target,broad_class_definition,shared_scope
Yarra,Apartment-like,2,102,81,15,8,0.147058823529412,25,After four-type whitelist,TRUE,10,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Boroondara,Other entire-home types,2,14,13,2,1,0.142857142857143,25.25,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Kingston,Apartment-like,1,14,13,2,2,0.142857142857143,23.75,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whitehorse,Apartment-like,1,21,12,3,5,0.142857142857143,12,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maribyrnong,Other entire-home types,2,29,26,4,4,0.137931034482759,18,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Kingston,Other entire-home types,3,22,19,3,5,0.136363636363636,23.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Stonnington,Apartment-like,1,185,132,25,15,0.135135135135135,20,After four-type whitelist,TRUE,11,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Banyule,Apartment-like,1,8,6,1,0,0.125,15.75,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Monash,Apartment-like,2,32,28,4,2,0.125,20.25,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Moonee Valley,Apartment-like,2,24,24,3,2,0.125,24,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Port Phillip,Other entire-home types,3,56,43,7,8,0.125,18,After four-type whitelist,TRUE,12,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Boroondara,Other entire-home types,3,17,17,2,2,0.117647058823529,16,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Moonee Valley,Apartment-like,1,17,17,2,4,0.117647058823529,17,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Stonnington,Other entire-home types,3,34,31,4,4,0.117647058823529,17.75,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Port Phillip,Apartment-like,1,305,249,35,45,0.114754098360656,19,After four-type whitelist,TRUE,13,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Banyule,Apartment-like,2,9,8,1,0,0.111111111111111,24,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Frankston,Other entire-home types,2,9,9,1,2,0.111111111111111,23,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Frankston,Other entire-home types,3,18,18,2,1,0.111111111111111,12,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Port Phillip,Apartment-like,3,27,24,3,1,0.111111111111111,21,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Port Phillip,Other entire-home types,2,46,45,5,11,0.108695652173913,13.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Casey,Other entire-home types,3,19,16,2,1,0.105263157894737,16.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hobsons Bay,Apartment-like,1,19,10,2,3,0.105263157894737,18,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Moonee Valley,Other entire-home types,3,19,18,2,3,0.105263157894737,12,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Cardinia,Other entire-home types,3,10,10,1,1,0.1,14,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Kingston,Other entire-home types,2,20,15,2,1,0.1,12.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Manningham,Apartment-like,2,10,9,1,0,0.1,15.75,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Glen Eira,Apartment-like,2,41,26,4,0,0.0975609756097561,18,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maribyrnong,Other entire-home types,3,31,19,3,4,0.0967741935483871,22,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Boroondara,Apartment-like,2,32,30,3,3,0.09375,22,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Bayside,Apartment-like,1,22,21,2,3,0.0909090909090909,16.75,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Frankston,Apartment-like,1,11,8,1,2,0.0909090909090909,19.5,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Glen Eira,Apartment-like,1,22,21,2,2,0.0909090909090909,11,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maribyrnong,Apartment-like,1,23,20,2,2,0.0869565217391304,19.5,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Merri-bek,Other entire-home types,3,23,21,2,2,0.0869565217391304,20.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Stonnington,Apartment-like,2,97,77,8,17,0.0824742268041237,17,After four-type whitelist,TRUE,14,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hobsons Bay,Apartment-like,2,13,9,1,0,0.0769230769230769,20,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra Ranges,Apartment-like,2,13,11,1,2,0.0769230769230769,19,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Boroondara,Apartment-like,1,27,22,2,2,0.0740740740740741,17,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Wyndham,Other entire-home types,3,28,26,2,7,0.0714285714285714,14,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Glen Eira,Other entire-home types,3,15,14,1,6,0.0666666666666667,11.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Darebin,Other entire-home types,2,16,14,1,3,0.0625,8.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whitehorse,Other entire-home types,3,16,16,1,3,0.0625,20,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Bayside,Apartment-like,2,17,16,1,1,0.0588235294117647,16,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Brimbank,Other entire-home types,3,17,12,1,4,0.0588235294117647,16,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hobsons Bay,Other entire-home types,3,17,16,1,5,0.0588235294117647,12,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Kingston,Apartment-like,2,18,17,1,1,0.0555555555555556,20.5,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Darebin,Other entire-home types,3,21,21,1,3,0.0476190476190476,15,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Stonnington,Other entire-home types,2,21,21,1,2,0.0476190476190476,23,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Monash,Other entire-home types,3,27,15,1,3,0.037037037037037,10.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whitehorse,Apartment-like,2,36,25,1,3,0.0277777777777778,14.5,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Banyule,Apartment-like,3,3,3,0,0,0,23,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Banyule,Other entire-home types,1,2,2,0,0,0,11.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Banyule,Other entire-home types,2,9,9,0,0,0,20,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Banyule,Other entire-home types,3,9,9,0,1,0,6,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Bayside,Apartment-like,3,5,5,0,1,0,14,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Bayside,Other entire-home types,1,4,4,0,3,0,6.75,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Bayside,Other entire-home types,2,10,10,0,3,0,11.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Bayside,Other entire-home types,3,33,28,0,8,0,7,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Boroondara,Other entire-home types,1,5,5,0,2,0,14,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Brimbank,Apartment-like,3,2,2,0,0,0,15.25,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Brimbank,Other entire-home types,2,9,7,0,2,0,7,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Cardinia,Apartment-like,1,2,2,0,0,0,22.75,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Cardinia,Other entire-home types,1,1,1,0,0,0,18,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Casey,Apartment-like,1,2,1,0,0,0,9.25,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Casey,Apartment-like,3,1,1,0,0,0,5,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Casey,Other entire-home types,2,2,2,0,0,0,10.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Darebin,Apartment-like,2,17,16,0,3,0,17,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Darebin,Other entire-home types,1,6,6,0,1,0,17.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Frankston,Apartment-like,2,6,6,0,1,0,14.5,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Frankston,Apartment-like,3,2,2,0,0,0,8.75,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Frankston,Other entire-home types,1,5,4,0,1,0,5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Glen Eira,Apartment-like,3,3,3,0,1,0,2.5,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Glen Eira,Other entire-home types,1,3,3,0,0,0,29,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Glen Eira,Other entire-home types,2,12,12,0,1,0,13.25,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Greater Dandenong,Apartment-like,1,1,1,0,0,0,14,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Greater Dandenong,Apartment-like,2,2,2,0,0,0,4,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Greater Dandenong,Other entire-home types,1,1,1,0,1,0,0,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Greater Dandenong,Other entire-home types,2,5,3,0,0,0,24,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Greater Dandenong,Other entire-home types,3,8,6,0,1,0,19,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hobsons Bay,Apartment-like,3,2,1,0,0,0,15,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hume,Apartment-like,1,1,1,0,0,0,7,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hume,Apartment-like,2,1,1,0,0,0,9,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hume,Other entire-home types,1,2,2,0,1,0,2.25,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Knox,Apartment-like,1,2,2,0,0,0,5,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Knox,Other entire-home types,2,3,3,0,0,0,17.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Knox,Other entire-home types,3,7,5,0,0,0,14.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Manningham,Apartment-like,3,1,1,0,0,0,22,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Manningham,Other entire-home types,1,3,3,0,1,0,13.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
