rank,neighbourhood_cleansed,configuration,n,n_hosts,positive_n,observed_review_target_share,mean_oof_probability,median_oof_probability,conditional_bootstrap_lower_95,conditional_bootstrap_upper_95,fewer_than_10_positive_listings,fewer_than_10_hosts,scenario,model
10,Port Phillip,1BR Apartment/unit,305,249,35,0.11475409836065574,0.1420243453954805,0.1039190802990554,0.12636526478633253,0.15857014185603605,False,False,extended_operating_controls,hist_gradient_boosting
11,Port Phillip,2BR Apartment/unit,219,171,37,0.1689497716894977,0.13719978235565577,0.10389980524137865,0.12009486136636675,0.154054397817683,False,False,extended_operating_controls,hist_gradient_boosting
12,Port Phillip,3BR House/townhouse,56,43,7,0.125,0.13114615582778613,0.11909869783120264,0.09594117682928457,0.15965076974866804,True,False,extended_operating_controls,hist_gradient_boosting
13,Stonnington,1BR Apartment/unit,185,132,25,0.13513513513513514,0.12655898583628053,0.10721339369061161,0.11087572480769246,0.14013205889668615,False,False,extended_operating_controls,hist_gradient_boosting
14,Stonnington,2BR Apartment/unit,97,77,8,0.08247422680412371,0.10601229479035192,0.07309260043556014,0.0855465063745118,0.12939409181411235,True,False,extended_operating_controls,hist_gradient_boosting
1,Melbourne,3BR Apartment/unit,306,139,112,0.3660130718954248,0.30579625936167476,0.2819845680721177,0.2807469497439821,0.33342951763650874,False,False,extended_operating_controls,hist_gradient_boosting_sigmoid
2,Melbourne,2BR Apartment/unit,1235,482,405,0.32793522267206476,0.2976107492527167,0.28472888160836046,0.2786489771672099,0.3150592380161913,False,False,extended_operating_controls,hist_gradient_boosting_sigmoid
3,Melbourne,1BR Apartment/unit,936,435,237,0.2532051282051282,0.25832948764169356,0.23319568570094212,0.24066162070900948,0.27997666159524237,False,False,extended_operating_controls,hist_gradient_boosting_sigmoid
4,Yarra Ranges,3BR House/townhouse,90,77,27,0.3,0.24671865258712364,0.23997914850302438,0.22555810649122543,0.27169949892358325,False,False,extended_operating_controls,hist_gradient_boosting_sigmoid
5,Yarra,1BR Apartment/unit,177,136,39,0.22033898305084745,0.23351461958104086,0.2222878971416268,0.21418234359708918,0.2513715958601281,False,False,extended_operating_controls,hist_gradient_boosting_sigmoid
6,Yarra Ranges,2BR House/townhouse,51,39,11,0.21568627450980393,0.2175885744144018,0.18995403597544938,0.19048610227105672,0.25494709105414626,False,False,extended_operating_controls,hist_gradient_boosting_sigmoid
7,Merri-bek,1BR Apartment/unit,54,48,9,0.16666666666666666,0.2076075364585634,0.1940117618649515,0.18188988980807186,0.23554382137524654,True,False,extended_operating_controls,hist_gradient_boosting_sigmoid
8,Yarra,2BR House/townhouse,60,58,14,0.23333333333333334,0.19288517845823838,0.1449493243224752,0.1618473875857165,0.22712971790826947,False,False,extended_operating_controls,hist_gradient_boosting_sigmoid
9,Yarra,2BR Apartment/unit,102,81,15,0.14705882352941177,0.19255455271715974,0.15901095972264712,0.1726600909866874,0.22016761928621367,False,False,extended_operating_controls,hist_gradient_boosting_sigmoid
10,Port Phillip,1BR Apartment/unit,305,249,35,0.11475409836065574,0.164186660517673,0.143381992929972,0.1513805154151835,0.17766418137352913,False,False,extended_operating_controls,hist_gradient_boosting_sigmoid
11,Port Phillip,2BR Apartment/unit,219,171,37,0.1689497716894977,0.15988550949837713,0.14179526884585772,0.14649785814168825,0.17336914959265654,False,False,extended_operating_controls,hist_gradient_boosting_sigmoid
12,Port Phillip,3BR House/townhouse,56,43,7,0.125,0.15729877572658754,0.15353499087864797,0.12454138453081842,0.18091549172503998,True,False,extended_operating_controls,hist_gradient_boosting_sigmoid
13,Stonnington,1BR Apartment/unit,185,132,25,0.13513513513513514,0.1535646427778803,0.14412473947458185,0.13952517235712034,0.16526303677735535,False,False,extended_operating_controls,hist_gradient_boosting_sigmoid
14,Stonnington,2BR Apartment/unit,97,77,8,0.08247422680412371,0.1352674627972271,0.11518912665035955,0.1175249639219611,0.15455364457400178,True,False,extended_operating_controls,hist_gradient_boosting_sigmoid
